DISTRICT,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,SUP Total,SUP # Retained,SUP % Retained,PRNC Total,PRNC # Retained,PRNC % Retained,TCHR Total,TCHR # Retained,TCHR % Retained,Total FTE Memb,General Fund Appropriations,"Grants, Revolving & Other Funds",Total Expenditures,Expenditure Per Pupil,SATs Taken,SAT Reading,SAT Writing,SAT Math,EngNot1stLang#,EngNot1stLang%,EngLangLrn#,EngLangLrn%,Disab#,Disab%,HighNeeds#,HighNeeds%,EconDisadv#,EconDisadv%,# Graduated,# Completed MassCore,% Completed MassCore,SCI P+A #,SCI P+A %,SCI A#,SCI A %,SCI P#,SCI P %,SCI NI #,SCI NI %,SCI W/F #,SCI W/F %,SCI Stud. Incl. #,SCI CPI,SCI SGP,SCI Incl. in SGP(#),MTH P+A #,MTH P+A %,MTH A #,MTH A %,MTH P #,MTH P %,MTH NI #,MTH NI %,MTH W/F #,MTH W/F %,MTH Stud. Incl. #,MTH CPI,MTH SGP,MTH Incl. in SGP(#),ELA P+A #,ELA P+A %,ELA A #,ELA A %,ELA P #,ELA P %,ELA NI #,ELA NI %,ELA W/F #,ELA W/F %,ELA Stud. Incl. #,ELA CPI,ELA SGP,ELA Incl. in SGP(#)
Leicester,3.4,2.1,5.3,87.5,0.6,0.1,1,51.9,48.1,1,0,0,4,3,75,114,111,97.4,"1,755.00","$18,671,607","$3,088,941","$21,760,548","$12,399",84,515,505,504,53,3.3,20,1.2,266,16.4,499,30.7,281,17.5,117,117,100,192,50,40,10,152,39,163,42,32,8,387,79.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lenox,0.5,4.1,5.5,87.5,0.4,0.1,1.8,51.6,48.4,1,1,100,2,2,100,81,75,92.6,805.7,"$11,338,194","$1,976,063","$13,314,257","$16,525",53,541,541,548,29,4,18,2.5,56,7.7,179,24.6,128,17.6,68,52,76.5,107,66,48,30,59,37,47,29,7,4,161,87.3,N/A,N/A,319,284,71,151,38,133,33,88,22,27,7,399,87.6,49,314,327,82,108,27,219,55,58,15,12,3,397,93.6,54.5
Leominster,7.2,3.4,29.1,57,0.2,0.1,3.1,53.1,46.9,1,1,100,9,9,100,452,418,92.5,"6,637.10","$70,940,071","$14,524,345","$85,464,416","$12,877",280,488,469,502,"1,105",18.1,343,5.6,"1,241",20.1,"2,945",47.8,"2,020",33.1,418,418,100,644,48,173,13,471,35,497,37,197,15,1338,76,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Leverett,0,1.5,4.5,85,0,0,9,54.9,45.1,1,0,0,1,1,100,20,18,90,132.5,"$2,241,276","$388,449","$2,629,725","$19,847",#N/A,#N/A,#N/A,#N/A,1,0.8,0,0,22,16.5,36,27.1,21,15.8,#N/A,#N/A,#N/A,5,38,1,8,4,31,7,54,1,8,13,73.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lexington,4.4,33.2,3.4,53.5,0.1,0,5.5,50.9,49.1,1,1,100,9,9,100,577,510,88.4,"6,697.90","$105,236,912","$11,947,757","$117,184,669","$17,496",443,626,626,656,"1,555",22.9,415,6.1,936,13.6,"1,666",24.2,309,4.6,472,469,99.4,1387,86,648,40,739,46,186,12,37,2,1610,95,N/A,N/A,2900,3257,88,2413,65,844,23,315,8,137,4,3709,95,63,2848,3349,90,1699,46,1650,45,269,7,88,2,3706,96.3,60
Lincoln,11.6,5.7,13,62.4,0.2,0.2,6.9,48.7,51.3,1,1,100,4,4,100,129,115,89.1,"1,246.00","$12,110,843","$12,713,475","$24,824,318","$19,923",#N/A,#N/A,#N/A,#N/A,83,6.7,30,2.4,201,16,265,21.1,51,4.1,#N/A,#N/A,#N/A,138,63,28,13,110,50,66,30,14,6,218,85.7,N/A,N/A,425,443,66,227,34,216,32,175,26,51,8,669,85,47,423,532,79,163,24,369,55,110,16,34,5,676,91.2,55
Lincoln-Sudbury,4.9,6.1,4,81.9,0,0,3.2,48.1,51.9,1,0,0,1,0,0,135,122,90.4,"1,659.90","$26,251,581","$3,818,719","$30,070,300","$18,116",347,589,585,621,87,5.4,9,0.6,310,18.5,364,21.7,61,3.8,401,401,100,397,90,188,43,209,47,33,7,12,3,442,95.9,N/A,N/A,419,426,95,367,82,59,13,12,3,10,2,448,97.8,56,415,442,98,334,74,108,24,4,1,4,1,450,99.2,47
Littleton,2.4,4.8,2.6,87.7,0.3,0.4,1.6,48.1,51.9,1,1,100,4,4,100,101,89,88.1,"1,707.00","$20,882,507","$2,467,718","$23,350,225","$13,679",93,565,552,557,41,2.6,12,0.8,353,21.6,426,26.1,100,6.3,96,95,99,257,76,98,29,159,47,73,22,8,2,338,91.6,N/A,N/A,693,622,73,334,39,288,34,165,19,66,8,853,87.5,53,688,675,80,193,23,482,57,130,15,43,5,848,91.5,44
Longmeadow,2.2,8.4,4.5,81.8,0.1,0.1,2.9,51.7,48.3,1,1,100,6,6,100,241,217,90,"2,897.50","$36,034,357","$4,554,953","$40,589,310","$14,008",223,566,551,575,158,5.4,35,1.2,518,17.6,685,23.2,170,5.9,232,139,59.9,481,72,166,25,315,47,167,25,18,3,666,89.9,N/A,N/A,1267,1239,80,704,45,535,34,249,16,67,4,1555,91.4,59,1261,1328,86,471,30,857,55,198,13,26,2,1552,94.7,55
Lowell,7.1,29.4,30.1,30.1,0,0,3.2,51.9,48.1,1,1,100,22,18,81.8,996,904,90.8,"15,222.20","$180,740,120","$26,538,312","$207,278,432","$13,617",434,460,446,483,"5,109",36.3,"3,745",26.6,"2,143",15.1,"9,861",69.4,"6,896",49,649,137,21.1,876,31,152,5,724,26,1181,42,731,26,2788,64.9,N/A,N/A,5393,3503,48,1440,20,2063,28,2160,30,1624,22,7287,72.4,49,5389,3767,52,703,10,3064,42,2333,32,1170,16,7270,77.2,50
Lowell Collegiate Charter School (District),22.4,21.2,31.5,19.4,0.6,0,5,48.2,51.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83,24.4,48,14.1,27,7.9,174,51.2,123,36.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lowell Community Charter Public,27.6,22,43.3,4.2,0,0,3,49.9,50.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,501,65.1,363,47.2,128,16.6,577,75,361,46.9,#N/A,#N/A,#N/A,39,51,9,12,30,39,30,39,8,10,77,79.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lowell Middlesex Academy Charter,2.8,7.3,33.9,48.6,0,0,7.3,48.6,51.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,10.1,0,0,27,24.8,72,66.1,54,49.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,7,64,2,18,5,45,4,36,0,0,11,90.9,N/A
Ludlow,1.7,0.4,8.2,87.2,0.2,0.2,2.2,50.4,49.6,1,1,100,5,5,100,222,199,89.6,"2,870.50","$34,059,156","$3,902,603","$37,961,759","$13,225",130,480,474,512,195,7.2,54,2,438,16,955,34.9,611,22.5,236,26,11,336,51,70,11,266,41,245,37,75,11,656,78.2,N/A,N/A,1216,883,60,413,28,470,32,370,25,211,14,1464,79.8,52,1213,959,66,188,13,771,53,384,26,117,8,1460,85.1,44
Lunenburg,1.7,1.3,5,89.1,0.6,0.4,1.7,52.6,47.4,1,1,100,3,3,100,107,99,92.5,"1,705.10","$18,782,387","$2,333,942","$21,116,329","$12,384",98,536,516,557,36,2.3,17,1.1,288,18.2,430,27.2,187,12,108,106,98.1,240,67,62,17,178,50,98,27,21,6,359,87.5,N/A,N/A,657,573,68,249,29,324,38,184,22,91,11,848,84.9,48,659,631,74,176,21,455,54,164,19,52,6,847,89.3,52
Lynn,10.7,9.2,56.4,19.6,0.3,0,3.8,53,47,1,1,100,25,24,96,992,865,87.2,"15,685.70","$181,228,616","$26,185,847","$207,414,463","$13,223",477,435,420,445,"8,046",54.1,"2,794",18.8,"2,315",15.4,"9,877",65.7,"6,870",46.2,867,157,18.1,1012,35,165,6,847,29,1307,45,581,20,2900,69.9,N/A,N/A,5041,3166,44,1107,15,2059,28,2324,32,1742,24,7232,71.4,45,5028,3729,52,575,8,3154,44,2413,33,1087,15,7229,78.9,46
Lynnfield,1.8,4.1,3.8,88.2,0,0,2.1,51.4,48.6,1,1,100,5,5,100,170,155,91.2,"2,218.70","$27,965,613","$1,870,485","$29,836,098","$13,448",142,537,544,562,94,4.3,8,0.4,352,15.9,474,21.4,136,6.2,146,141,96.6,383,73,139,26,244,46,127,24,17,3,527,90,N/A,N/A,1013,1025,84,560,46,465,38,150,12,51,4,1226,93.6,49,1015,1081,88,456,37,625,51,117,10,27,2,1225,95.8,49
Ma Academy for Math and Science,1,41.2,2.1,54.6,0,0,1,57.7,42.3,1,1,100,1,1,100,7,6,85.7,#N/A,#N/A,#N/A,#N/A,#N/A,44,679,675,734,22,22.7,0,0,0,0,7,7.2,5,5.2,49,49,100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malden,20.4,22.4,21.2,31.8,0.3,0.1,3.8,51.5,48.5,1,1,100,7,4,57.1,434,397,91.5,"7,450.70","$86,071,875","$14,711,011","$100,782,886","$13,527",325,454,439,497,"3,206",48.8,"1,247",19,"1,055",15.8,"4,024",60.4,"2,562",39,407,165,40.5,565,44,121,9,444,34,522,40,211,16,1298,74.3,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Manchester Essex Regional,0.2,0.6,0.6,98.1,0,0,0.5,49.3,50.7,1,1,100,4,2,50,125,114,91.2,#N/A,#N/A,#N/A,#N/A,#N/A,99,583,584,590,23,1.5,13,0.9,208,13.6,295,19.3,92,6.1,118,118,100,273,76,75,21,198,55,81,22,7,2,361,91.1,N/A,N/A,700,646,75,333,39,313,37,160,19,50,6,856,89.3,48.5,700,756,88,270,32,486,57,80,9,19,2,855,95.2,50
Mansfield,2.9,4.4,3.3,86.5,0.3,0.1,2.5,51.2,48.8,1,1,100,6,5,83.3,311,284,91.3,"4,487.10","$52,333,628","$5,267,158","$57,600,786","$12,837",297,537,521,555,172,4.2,36,0.9,698,16.7,"1,008",24.1,391,9.4,340,340,100,658,65,193,19,465,46,297,29,54,5,1009,86.9,N/A,N/A,1978,1733,74,946,40,787,34,450,19,166,7,2349,88.3,52,1975,1924,82,680,29,1244,53,326,14,101,4,2351,92.8,54
Marblehead,3.2,1.7,5.5,87.3,0.1,0,2.2,50.2,49.8,1,0,0,6,5,83.3,245,217,88.6,"3,500.20","$41,326,244","$4,938,859","$46,265,103","$13,218",221,568,565,569,177,5.5,109,3.4,575,17.6,822,25.2,278,8.6,255,249,97.6,571,76,225,30,346,46,147,20,29,4,747,91,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Marblehead Community Charter Public,3,1.3,3.5,91.7,0.4,0,0,54.3,45.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,34,14.8,43,18.7,12,5.2,#N/A,#N/A,#N/A,64,69,10,11,54,58,27,29,2,2,93,89.2,N/A,N/A,218,150,66,47,21,103,45,69,30,8,4,227,86.8,42.5,218,202,89,67,30,135,59,24,11,1,0,227,96.1,50
Marion,2.9,2,1.8,88.3,0,0,5,48.9,51.1,1,1,100,1,1,100,37,31,83.8,463.6,"$6,376,595","$545,254","$6,921,849","$14,931",#N/A,#N/A,#N/A,#N/A,7,1.6,4,0.9,86,19.2,140,31.2,65,14.6,#N/A,#N/A,#N/A,50,66,11,14,39,51,21,28,5,7,76,86.5,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Marlborough,2.9,3.6,38.6,51.9,0.1,0,2.9,51.1,48.9,1,0,0,7,4,57.1,355,329,92.7,"5,156.00","$70,236,369","$7,006,829","$77,243,198","$14,981",192,496,479,524,"1,644",36.2,746,16.4,875,19,"2,281",49.5,"1,144",25.2,245,206,84.1,433,47,96,10,337,37,340,37,148,16,921,75.7,N/A,N/A,1796,1256,54,558,24,698,30,642,28,422,18,2320,76.5,48,1788,1465,63,368,16,1097,47,567,24,283,12,2315,82.9,51
Marshfield,0.4,0.8,2.5,94.1,0.3,0,1.9,50.8,49.2,1,1,100,7,7,100,336,311,92.6,"4,477.00","$48,324,088","$5,160,411","$53,484,499","$11,947",277,523,520,521,25,0.6,24,0.6,711,16.5,"1,092",25.3,460,10.8,306,306,100,704,69,198,19,506,49,284,28,37,4,1025,88.8,N/A,N/A,1964,1754,76,880,38,874,38,430,19,125,5,2309,89.8,54,1951,1943,85,738,32,1205,52,295,13,60,3,2298,94.4,54
Martha's Vineyard,3.2,1.5,7.1,80.5,2.2,0,5.5,51.5,48.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,137,544,516,533,58,8.4,14,2,161,23.3,246,35.7,113,16.4,#N/A,#N/A,#N/A,136,85,47,29,89,56,21,13,3,2,160,93.6,N/A,N/A,139,146,87,105,63,41,24,16,10,6,4,168,93.6,34,138,165,96,105,61,60,35,6,4,0,0,171,98.8,48
Martha's Vineyard Charter,6.8,2.8,7.9,75.7,0,0,6.8,46.9,53.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,,,,12,6.8,10,5.6,37,20.9,75,42.4,32,18.1,#N/A,#N/A,#N/A,30,75,11,28,19,48,8,20,2,5,40,89.4,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Martin Luther King Jr. Charter School of Excellence,46,0.5,46.6,0.8,0.5,0,5.4,53.1,46.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49,13.4,28,7.6,45,12.3,273,74.4,251,68.4,#N/A,#N/A,#N/A,27,46,8,14,19,32,28,47,4,7,59,77.5,N/A,N/A,116,87,49,23,13,64,36,63,35,28,16,178,73.9,64,116,59,33,3,2,56,31,80,45,39,22,178,66.7,49.5
Masconomet,0.3,1.9,2.2,94.3,0.3,0.1,0.9,51,49,1,1,100,2,1,50,135,127,94.1,"2,060.20","$27,289,086","$2,101,008","$29,390,094","$14,266",307,554,547,571,14,0.7,6,0.3,309,15.4,370,18.4,75,3.8,344,218,63.4,535,83,198,31,337,52,102,16,9,1,646,94.2,N/A,N/A,936,818,83,555,56,263,27,126,13,39,4,983,93.1,58,938,935,95,429,43,506,51,47,5,6,1,988,98.4,57
Mashpee,3.1,2.3,4,79.8,5.9,0.1,4.8,50.9,49.1,1,0,0,4,4,100,133,121,91,"1,818.30","$26,639,384","$2,222,575","$28,861,959","$15,873",78,494,485,510,63,3.8,48,2.9,318,18.8,663,39.3,414,24.8,89,74,83.1,200,54,50,13,150,40,138,37,33,9,371,80.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,9.1,3.6,13.2,69.7,0.7,0.3,3.5,48,52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,,,,3,0.4,0,0,97,14,313,45.2,253,36.6,#N/A,#N/A,#N/A,48,39,10,8,38,31,46,37,30,24,124,69.2,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
MATCH Charter Public School (District),45.1,1.6,47.2,4.1,0.7,0.1,1.2,49.1,50.9,1,1,100,2,2,100,32,26,81.3,#N/A,#N/A,#N/A,#N/A,#N/A,46,497,493,528,451,50.4,311,34.7,136,15.2,653,73,463,51.7,40,0,0,98,48,28,14,70,34,91,44,17,8,206,78,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mattapoisett,1.6,1.8,2.6,90.6,0,0,3.4,54.4,45.6,1,1,100,2,2,100,40,33,82.5,521.4,"$7,578,617","$476,404","$8,055,021","$15,449",#N/A,#N/A,#N/A,#N/A,10,2,7,1.4,58,11.4,114,22.3,65,12.9,#N/A,#N/A,#N/A,58,72,15,19,43,53,20,25,3,4,81,90.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Maynard,2.6,3.2,10,80.2,0.1,0,3.9,50.8,49.2,1,1,100,3,3,100,114,98,86,"1,485.40","$18,987,473","$2,014,282","$21,001,755","$14,139",60,524,511,509,106,7.5,41,2.9,255,17.8,404,28.2,177,12.5,83,83,100,160,52,34,11,126,41,110,36,38,12,308,78.3,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Medfield,0.6,4.1,2.3,90.5,0.2,0.1,2.2,50.5,49.5,1,0,0,5,4,80,216,197,91.2,"2,688.30","$32,486,298","$2,662,366","$35,148,664","$13,075",191,564,556,576,20,0.8,16,0.6,322,12.1,402,15.1,83,3.1,233,7,3,461,72,161,25,300,47,149,23,27,4,637,89.7,N/A,N/A,1210,1168,81,658,46,510,35,209,15,61,4,1438,91.9,59,1211,1248,87,457,32,791,55,157,11,36,2,1441,94.9,50
Medford,15.3,8.6,9.5,62.8,0.2,0.1,3.5,51,49,1,1,100,9,7,77.8,400,358,89.5,"4,981.50","$65,982,932","$7,411,227","$73,394,159","$14,733",215,494,489,505,"1,074",23.8,341,7.6,819,18,"1,956",43,"1,144",25.3,326,153,46.9,491,50,115,12,376,39,370,38,113,12,974,77.9,N/A,N/A,1793,1154,50,468,20,686,30,724,31,424,18,2302,74.3,52,1786,1471,64,333,15,1138,50,621,27,196,9,2288,84.6,51
Medway,1.1,2.5,2.8,91.6,0.3,0,1.7,49.8,50.2,1,1,100,4,4,100,175,152,86.9,"2,536.00","$28,774,825","$3,247,659","$32,022,484","$12,627",171,545,552,559,18,0.8,7,0.3,347,14.3,488,20.1,176,7.3,180,175,97.2,438,75,132,22,306,52,127,22,22,4,587,90.4,N/A,N/A,1061,1052,81,613,47,439,34,191,15,63,5,1306,91.3,51,1015,1108,85,413,32,695,53,156,12,41,3,1305,94,53
Melrose,5.6,4.1,3.1,83.1,0,0,4,50.2,49.8,1,1,100,8,7,87.5,277,234,84.5,"3,978.60","$38,197,011","$9,208,255","$47,405,266","$11,915",204,523,509,522,315,8.5,115,3.1,579,15.4,946,25.2,355,9.6,224,217,96.9,488,63,148,19,340,44,243,31,45,6,776,85.6,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mendon-Upton,0.7,2,3.6,91.7,0,0,2,50,50,1,1,100,4,4,100,161,144,89.4,"2,515.70","$28,804,647","$4,038,410","$32,843,057","$13,055",146,530,525,557,56,2.4,23,1,358,15,500,21,178,7.6,176,128,72.7,353,66,96,18,257,48,161,30,21,4,535,86.8,N/A,N/A,1080,930,71,474,36,456,35,271,21,114,9,1315,86.9,52,1073,1078,83,334,26,744,57,179,14,47,4,1304,93.3,54
Methuen,3,3.8,33.7,57.4,0.2,0,1.8,52.1,47.9,1,1,100,6,3,50,479,447,93.3,"7,152.60","$78,561,045","$10,712,161","$89,273,206","$12,481",293,472,453,479,"1,715",24.7,540,7.8,"1,078",15.3,"3,038",43.2,"1,963",28.2,408,266,65.2,593,39,92,6,501,33,658,43,263,17,1514,71.6,N/A,N/A,2979,1985,52,845,22,1140,30,1086,28,746,20,3817,75.6,54,2980,2265,59,443,12,1822,48,1080,28,466,12,3811,81.8,52
Middleborough,2,1,3.5,89.7,0.6,0,3.3,51.3,48.7,1,1,100,5,4,80,229,209,91.3,"3,294.90","$38,258,704","$4,162,967","$42,421,671","$12,875",130,492,474,500,41,1.3,20,0.6,564,17.9,"1,167",37,756,24.2,174,107,61.5,345,49,77,11,268,38,283,40,76,11,704,78.8,N/A,N/A,1402,964,55,407,23,557,32,505,29,283,16,1752,77.5,48,1398,1143,65,247,14,896,51,481,27,133,8,1757,85.8,48
Middleton,0.5,4.4,3,88.8,0.1,0,3.2,50.8,49.2,1,1,100,2,2,100,69,61,88.4,773,"$9,764,190","$965,743","$10,729,933","$13,881",#N/A,#N/A,#N/A,#N/A,29,3.8,11,1.5,130,17.2,183,24.2,58,7.7,#N/A,#N/A,#N/A,74,76,29,30,45,46,23,23,1,1,98,90.8,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Milford,2.8,2.6,21.5,68.2,1.8,0.1,3,52.3,47.7,1,1,100,6,5,83.3,318,287,90.3,"4,405.90","$50,549,422","$6,273,843","$56,823,265","$12,897",219,488,478,502,897,21.5,427,10.2,647,15.4,"1,725",40.9,"1,072",25.7,259,259,100,485,55,132,15,353,40,298,34,95,11,878,80.4,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Millbury,1.4,1.8,7,86.3,0.1,0,3.4,51,49,1,1,100,3,2,66.7,129,118,91.5,"1,781.50","$23,919,894","$2,084,368","$26,004,262","$14,597",98,505,479,504,71,4.1,31,1.8,314,17.8,597,33.8,349,20,115,115,100,227,63,47,13,180,50,100,28,31,9,358,84.1,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Millis,1,2.5,3.6,89.8,0.4,0.2,2.4,52,48,1,1,100,3,3,100,96,88,91.7,"1,463.40","$15,734,082","$2,432,227","$18,166,309","$12,414",86,518,510,523,16,1.1,11,0.8,173,12.2,289,20.3,121,8.6,105,105,100,177,61,40,14,137,47,100,34,14,5,291,84.7,N/A,N/A,618,501,67,221,30,280,38,193,26,50,7,744,85.7,42,619,568,76,140,19,428,58,147,20,28,4,743,90.7,55
Milton,16.2,5.7,4.5,70.2,0,0.2,3,51.3,48.7,1,1,100,6,5,83.3,285,247,86.7,"3,993.20","$47,130,836","$6,773,652","$53,904,488","$13,499",205,527,517,538,314,7.8,59,1.5,541,13.3,862,21.3,331,8.3,225,225,100,575,67,182,21,393,46,231,27,51,6,857,86.7,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
